Student_ID,Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Grade
STU00187,18,Female,2.26,68.1,9.7,5.4,4.7,2.46,No,Offline,Poor,Excellent,No,1,High,6.3,C
STU00188,19,Female,6.46,66.7,7.9,1,7.3,2.67,Yes,Offline,Poor,Good,No,4,Middle,4.1,A
STU00189,24,Male,4.48,80.7,6.7,3.7,1.7,3.33,No,Hybrid,Poor,Excellent,No,0,Middle,2.9,A
STU00190,19,Female,7.28,90.9,6.2,5.2,1.6,3.48,No,Hybrid,Average,Poor,No,2,Low,5.3,A
STU00191,23,Male,5.55,71,8.5,5.6,3.2,3.35,No,Offline,Average,Average,Yes,3,High,1.7,A
STU00192,17,Male,3.5,59.2,6.9,7,2.9,3,No,Offline,Average,Poor,Yes,2,High,4.8,B
STU00193,24,Male,7.16,89.9,5.6,6.2,4.6,3.98,No,Offline,Average,Good,No,3,Low,2.1,A
STU00194,24,Male,3.39,91.7,7.5,3.3,4,2.6,Yes,Offline,Average,Poor,No,4,Low,4.6,A
STU00195,23,Male,0.89,77.9,5.9,1.4,1,2.44,No,Online,Average,Good,Yes,1,Middle,3.8,B
STU00196,21,Female,9.13,91.1,7.7,4.8,1,3.01,No,Offline,Average,Good,No,4,Middle,5.4,A
STU00197,20,Male,1.18,100,9.2,6.3,3.4,2.19,No,Online,Poor,Average,Yes,0,Low,6.8,D
STU00198,18,Non-Binary,6.27,71.7,5.8,7.9,4.1,2.96,No,Hybrid,Average,Excellent,Yes,1,Middle,6.2,B
STU00199,23,Male,6.88,76.3,7.4,7.1,6.3,2.41,Yes,Hybrid,Average,Average,Yes,0,Middle,5.1,B
STU00200,20,Male,5.29,76.4,6.6,4.4,2.8,3.17,Yes,Offline,Average,Average,No,3,Middle,5.8,A
STU00201,22,Male,1.63,91,6.7,3.6,4.4,2.27,Yes,Offline,Average,Good,Yes,1,High,4.4,C
STU00202,20,Female,7.03,71.7,8.4,7.9,2.1,2.98,Yes,Online,Average,Poor,No,3,Middle,4.8,A
STU00203,22,Male,2.12,77.1,4.5,6.7,7.1,2.54,No,Offline,Average,Good,Yes,0,High,4.2,D
STU00204,23,Female,2.31,92.9,6.2,3.7,2.4,2.51,Yes,Online,Average,Excellent,Yes,3,Low,4.1,A
STU00205,24,Female,4.28,90.4,8.7,4.3,3.3,3.63,Yes,Hybrid,Average,Excellent,No,3,Middle,2.6,A
STU00206,24,Female,6.58,90.8,6.3,6,3.6,3.06,No,Online,Average,Excellent,No,1,Low,1.4,A
STU00207,21,Female,5.6,71.1,5.6,1,3.8,3.37,No,Online,Average,Average,Yes,1,Middle,2.8,A
STU00208,23,Male,6.62,84.7,6.6,6.4,4.7,2.16,Yes,Online,Good,Good,Yes,1,High,3.7,B
STU00209,22,Male,4.11,74.5,7.3,4.4,3.2,2.95,No,Offline,Good,Poor,No,3,High,3.8,A
STU00210,20,Male,4.66,89.5,7.5,2.5,5.1,2.99,Yes,Offline,Poor,Average,Yes,4,High,2.9,A
STU00211,20,Female,2.73,85.3,8.1,2.4,4.3,3.63,No,Online,Average,Poor,No,2,Middle,4.8,B
STU00212,22,Male,4.37,87.4,8.8,3.2,2.9,2.92,No,Hybrid,Good,Average,No,3,High,2.2,A
STU00213,19,Male,6.19,78.6,8,5.6,3.2,3.07,No,Online,Average,Excellent,Yes,1,Middle,3,A
STU00214,21,Non-Binary,4.4,81.8,7.7,3.6,3.5,2.27,No,Offline,Good,Average,No,4,Low,3.5,A
STU00215,17,Male,5.95,84.1,7.8,7.8,4.2,3.34,No,Hybrid,Good,Good,No,3,Middle,4.1,A
STU00216,24,Female,3.85,78.3,5.8,6.1,5.2,2.7,No,Offline,Average,Good,Yes,1,Middle,7.1,C
STU00217,18,Female,3.82,83.6,7.8,4.4,5.1,2.54,No,Offline,Average,Good,Yes,1,Middle,6.3,B
STU00218,20,Male,5.08,70.7,8.7,7.7,0.5,2.53,No,Offline,Average,Excellent,Yes,0,Low,4.9,B
STU00219,18,Male,4.61,68.6,6.5,8.8,6.1,2.22,No,Hybrid,Poor,Average,No,0,Middle,7.2,D
STU00220,17,Male,6.18,63.3,7.8,8.1,2.9,2.31,No,Hybrid,Good,Good,No,4,Middle,4.9,B
STU00221,23,Female,5.36,78.9,8.2,7.5,2.8,2.39,No,Hybrid,Good,Good,Yes,1,Low,3.3,A
STU00222,18,Female,8.48,88.7,7.2,4.5,4.4,2.96,No,Hybrid,Average,Poor,Yes,1,Middle,4.8,A
STU00223,17,Female,4.56,84.7,7.3,7,1.5,2.93,No,Online,Average,Good,Yes,1,Middle,2.5,A
STU00224,24,Female,4.55,60.7,5.9,6.2,6,2.85,Yes,Offline,Average,Excellent,Yes,0,Middle,2.7,C
STU00225,22,Female,2.92,84.4,6.3,9.6,4.3,3.26,Yes,Offline,Poor,Poor,Yes,1,High,3.8,C
